id,c000,ca01,ca02,ca03,ce01,ce02,ce03,cns01,cns02,cns03,cns04,cns05,cns06,cns07,cns08,cns09,cns10,cns11,cns12,cns13,cns14,cns15,cns16,cns17,cns18,cns19,cns20,cr01,cr02,cr03,cr04,cr05,cr07,ct01,ct02,cd01,cd02,cd03,cd04,cg01,cg02,longitude,latitude,sum_workers
060411160001016,177,28,114,35,26,24,127,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,1,0,154,2,0,13,0,8,162,15,15,18,45,71,89,88,-122.57427671712976,37.98121879731392,1388
060411160001021,10,3,4,3,2,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,1,0,0,0,0,8,1,0,0,0,1,5,5,0,0,3,4,7,3,-122.57808045308823,37.98385563987271,77
060411160001017,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,-122.57285484142312,37.98106028855234,8
060411160002003,12,0,2,10,4,7,1,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,10,2,1,2,5,4,8,4,-122.57453633405463,37.98041745055627,96
060411160002004,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,2,-122.57723451417769,37.98021976562448,16
060411160002001,5,0,5,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,2,1,2,2,3,-122.57962235880879,37.983005114602534,40
060411160002005,6,3,3,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,5,0,0,1,0,0,6,0,0,0,1,2,4,2,-122.57927377445215,37.98103686075565,45
060411160002002,17,3,10,4,2,2,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,5,1,1,0,3,7,10,3,5,6,0,11,6,-122.57914864989118,37.981975333027705,133
060411141001006,17,1,15,1,9,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,13,0,0,0,16,0,0,0,0,1,15,2,1,4,4,7,6,11,-122.59118273191906,37.986531913768005,135
060411041032003,93,3,41,49,17,12,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90,0,0,0,2,0,79,6,0,6,0,2,84,9,1,14,33,42,37,56,-122.57341303497523,38.07798977710099,741
060411141001005,45,5,10,30,6,28,11,0,0,0,4,0,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0,2,2,0,4,34,11,7,13,11,9,32,13,-122.59228367627384,37.987866220186525,355
